,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
3073,KEPLER-83 D,Primary Transit,,5.169796,0.051,,,,,,0.173,,,2014,4164,0.664,0.539,,,-0.2,,,
3074,KEPLER-830 B,Primary Transit,,11.29695137,,,,,,,0.152,,,2016,6037,1.07,1.11,,,-0.02,,,
3075,KEPLER-831 B,Primary Transit,,5.62153941,,,,,,,0.113,,,2016,5732,0.99,0.97,,,0.02,,,
3076,KEPLER-832 B,Primary Transit,,7.1396941,,,,,,,0.184,,,2016,5596,0.92,0.9,,,-0.08,,,
3077,KEPLER-833 B,Primary Transit,,18.7546998,,,,,,,0.18,,,2016,4339,0.64,0.62,,,-0.18,,,
3078,KEPLER-834 B,Primary Transit,,13.32388301,,,,,,,0.18,,,2016,4554,0.7,0.66,,,-0.13,,,
3079,KEPLER-835 B,Primary Transit,,11.41909375,,,,,,,0.249,,,2016,5954,1.08,1.11,,,0.08,,,
3080,KEPLER-836 B,Primary Transit,,11.36112327,,,,,,,0.244,,,2016,5895,1.03,1.04,,,-0.01,,,
3081,KEPLER-837 B,Primary Transit,,16.56059504,,,,,,,0.228,,,2016,5403,0.85,0.81,,,-0.18,,,
3082,KEPLER-838 B,Primary Transit,,15.74957994,,,,,,,0.244,,,2016,5770,0.98,0.96,,,-0.06,,,
3083,KEPLER-839 B,Primary Transit,,37.8144514,,,,,,,0.229,,,2016,6058,1.22,1.31,,,0.29,,,
3084,KEPLER-84 B,Primary Transit,,8.725854,0.083,0,88.24,,,,0.1965,,,2013,6015,1.022,1.035,,,-0.2,,,
3085,KEPLER-84 C,Primary Transit,,12.882525,0.108,0,88.24,,,,0.2144,,,2013,6015,1.022,1.035,,,-0.2,,,
3086,KEPLER-84 D,Primary Transit,,4.224537,0.052,,,,,,0.123,,,2014,6015,1.022,1.035,,,-0.2,,,
3087,KEPLER-84 E,Primary Transit,,27.434389,0.181,,,,,,0.232,,,2014,6015,1.022,1.035,,,-0.2,,,
3088,KEPLER-84 F,Primary Transit,,44.552169,0.25,,,,,,0.196,,,2014,6015,1.022,1.035,,,-0.2,,,
3089,KEPLER-840 B,Primary Transit,,2.49577962,,,,,,,1.523,,,2016,5920,1.04,1.06,,,0,,,
3090,KEPLER-841 B,Primary Transit,,124.4198398,,,,,,,0.467,,,2016,5324,0.85,0.81,,,-0.09,,,
3091,KEPLER-842 B,Primary Transit,,1.21956827,,,,,,,0.143,,,2016,4848,0.78,0.73,,,-0.02,,,
3092,KEPLER-843 B,Primary Transit,,2.05387982,,,,,,,0.231,,,2016,5830,1.02,1.03,,,0.05,,,
3093,KEPLER-844 B,Primary Transit,,2.61302086,,,,,,,0.15,,,2016,4128,0.59,0.57,,,-0.24,,,
3094,KEPLER-845 B,Primary Transit,,0.92785982,,,,,,,0.182,,,2016,4913,0.79,0.75,,,0.01,,,
3095,KEPLER-846 B,Primary Transit,,19.80792185,,,,,,,0.221,,,2016,5579,0.94,0.91,,,0,,,
3096,KEPLER-847 B,Primary Transit,,2.3432319,,,,,,,0.105,,,2016,4940,0.83,0.77,,,0.15,,,
3097,KEPLER-848 B,Primary Transit,,6.91134416,,,,,,,0.152,,,2016,5695,1.01,1.2,,,0.15,,,
3098,KEPLER-849 B,Primary Transit,,394.6244904,,,,,,,0.637,,,2016,6059,1.23,1.64,,,0.12,,,
3099,KEPLER-85 B,Primary Transit,,8.305992,0.07891,,,0.0465,,,0.178,,,2013,5666,0.95,0.84,,,,,,
3100,KEPLER-85 C,Primary Transit,,12.51217,0.10369,,,0.059,,,0.197,,,2013,5666,0.95,0.84,,,,,,
3101,KEPLER-85 D,Primary Transit,,17.91323,0.13,,,,,,0.107,,,2014,5666,0.95,0.84,,,,,,
3102,KEPLER-85 E,Primary Transit,,25.216751,0.163,,,,,,0.113,,,2014,5666,0.95,0.84,,,,,,
3103,KEPLER-850 B,Primary Transit,,7.19303878,,,,,,,0.159,,,2016,5932,1.06,1.09,,,0.03,,,
3104,KEPLER-851 B,Primary Transit,,8.50699658,,,,,,,0.15,,,2016,5455,0.89,0.85,,,-0.07,,,
3105,KEPLER-852 B,Primary Transit,,44.9309804,,,,,,,0.227,,,2016,6100,1.19,1.16,,,0.22,,,
3106,KEPLER-853 B,Primary Transit,,7.16892463,,,,,,,0.151,,,2016,6350,1.3,1.55,,,0.07,,,
3107,KEPLER-854 B,Primary Transit,,2.14463285,,,,,,,1.492,,,2016,6179,1.17,1.27,,,0.04,,,
3108,KEPLER-855 B,Primary Transit,,7.8866311,,,,,,,0.745,,,2016,5835,1.03,1.03,,,0.06,,,
3109,KEPLER-856 B,Primary Transit,,8.02768059,,,,,,,0.83,,,2016,5535,0.96,0.93,,,0.12,,,
3110,KEPLER-857 B,Primary Transit,,85.35129427,,,,,,,0.607,,,2016,5773,0.99,0.99,,,0.02,,,
3111,KEPLER-858 B,Primary Transit,,76.13602028,,,,,,,0.434,,,2016,5653,0.96,0.91,,,-0.04,,,
3112,KEPLER-859 B,Primary Transit,,20.38177573,,,,,,,0.276,,,2016,5020,0.81,0.77,,,-0.02,,,
3113,KEPLER-86 B,Primary Transit,,282.5255,0.828,0.41,89.83,,,,0.905,,,2013,5629,0.94,1,,,-0.078,,,
3114,KEPLER-860 B,Primary Transit,,5.10137945,,,,,,,0.289,,,2016,5836,1.04,1.06,,,0.09,,,
3115,KEPLER-861 B,Primary Transit,,3.94963138,,,,,,,0.203,,,2016,5047,0.82,0.78,,,0.01,,,
3116,KEPLER-862 B,Primary Transit,,3.14866453,,,,,,,0.197,,,2016,5333,0.88,0.84,,,0.04,,,
3117,KEPLER-863 B,Primary Transit,,15.59461874,,,,,,,0.259,,,2016,5678,0.96,0.95,,,-0.03,,,
3118,KEPLER-864 B,Primary Transit,,5.83376092,,,,,,,0.214,,,2016,5754,1,1,,,0.04,,,
3119,KEPLER-865 B,Primary Transit,,14.16399294,,,,,,,0.222,,,2016,5570,0.93,0.92,,,-0.01,,,
3120,KEPLER-866 B,Primary Transit,,2.61703254,,,,,,,0.145,,,2016,4751,0.75,0.71,,,-0.07,,,
3121,KEPLER-867 B,Primary Transit,,150.242127,,,,,,,0.414,,,2016,5541,0.92,0.91,,,-0.02,,,
3122,KEPLER-868 B,Primary Transit,,5.03251791,,,,,,,0.183,,,2016,5614,0.93,0.89,,,-0.08,,,
3123,KEPLER-869 B,Primary Transit,,40.4287755,,,,,,,0.322,,,2016,5664,0.97,0.95,,,0.02,,,
3124,KEPLER-87 B,Primary Transit,,114.73709,0.471,0.036,89.274,1.02,,,1.21,,,2013,5600,1.1,1.82,,,-0.17,,7.5,
3125,KEPLER-87 C,Primary Transit,,192.363,0.664,0.039,89.588,0.0201,,,0.549,,,2012,5600,1.1,1.82,,,-0.17,,7.5,
3126,KEPLER-870 B,Primary Transit,,21.3587621,,,,,,,0.248,,,2016,5857,1.01,1.02,,,-0.01,,,
