,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
2855,KEPLER-660 B,Primary Transit,,9.27358194,,,,,,,0.229,,,2016,4779,0.75,0.71,,,-0.07,,,
2856,KEPLER-661 B,Primary Transit,,6.02930132,,,,,,,0.274,,,2016,4483,0.7,0.67,,,-0.05,,,
2857,KEPLER-662 B,Primary Transit,,21.67697486,,,,,,,0.194,,,2016,4897,0.79,0.74,,,-0.03,,,
2858,KEPLER-663 B,Primary Transit,,4.99678284,,,,,,,0.232,,,2016,5264,0.86,0.82,,,0.03,,,
2859,KEPLER-664 B,Primary Transit,,2.52559332,,,,,,,0.237,,,2016,5754,1.01,1.02,,,0.07,,,
2860,KEPLER-665 B,Primary Transit,,16.01310205,,,,,,,0.232,,,2016,4913,0.79,0.74,,,-0.03,,,
2861,KEPLER-666 B,Primary Transit,,4.49876092,,,,,,,0.214,,,2016,5887,1.03,1.05,,,0.01,,,
2862,KEPLER-667 B,Primary Transit,,41.43962808,,,,,,,0.422,,,2016,5327,0.91,0.87,,,0.15,,,
2863,KEPLER-668 B,Primary Transit,,8.35390639,,,,,,,0.241,,,2016,5352,0.87,0.82,,,-0.06,,,
2864,KEPLER-669 B,Primary Transit,,4.12554687,,,,,,,0.431,,,2016,6038,1.15,1.2,,,0.14,,,
2865,KEPLER-67 B,Primary Transit,,15.7259,0.1171,,,0.31,,,0.26,,,2013,5331,0.865,0.778,G9V,,0.012,,1,
2866,KEPLER-670 B,Primary Transit,,2.81650485,,,,,,,1.176,,,2016,5709,0.99,0.99,,,0.07,,,
2867,KEPLER-671 B,Primary Transit,,4.28095859,,,,,,,0.24,,,2016,5624,0.97,0.95,,,0.08,,,
2868,KEPLER-672 B,Primary Transit,,38.3774623,,,,,,,0.223,,,2016,5627,0.95,0.92,,,-0.01,,,
2869,KEPLER-673 B,Primary Transit,,3.72873109,,,,,,,0.583,,,2016,5355,0.88,0.84,,,0,,,
2870,KEPLER-674 B,Primary Transit,,2.24338185,,,,,,,0.151,,,2016,4192,0.6,0.57,,,-0.27,,,
2871,KEPLER-675 B,Primary Transit,,2.33743801,,,,,,,0.218,,,2016,4945,0.79,0.75,,,-0.05,,,
2872,KEPLER-676 B,Primary Transit,,11.59822172,,,,,,,0.271,,,2016,3701,0.51,0.49,,,-0.02,,,
2873,KEPLER-677 B,Primary Transit,,6.57531678,,,,,,,0.48,,,2016,5723,1,0.99,,,0.06,,,
2874,KEPLER-678 B,Primary Transit,,7.27503724,,,,,,,0.459,,,2016,5520,0.94,0.91,,,0.07,,,
2875,KEPLER-679 B,Primary Transit,,12.39358604,,,,,,,0.269,,,2016,5403,0.87,0.84,,,-0.09,,,
2876,KEPLER-68 B,Primary Transit,,5.3987533,0.0617,0.02,87.6,0.0188,,,0.206,,,2013,5793,1.079,1.243,,,0.12,,6.3,
2877,KEPLER-68 C,Primary Transit,,9.604979,0.09059,0.42,86.93,0.00686,,,0.0827,,,2013,5793,1.079,1.243,,,0.12,,6.3,
2878,KEPLER-68 D,Radial Velocity,,625,1.4,0.18,,0.84,,,,,,2013,5793,1.079,1.243,,,0.12,,6.3,
2879,KEPLER-680 B,Primary Transit,,3.68992629,,,,,,,0.216,,,2016,5890,1.08,1.11,,,0.13,,,
2880,KEPLER-681 B,Primary Transit,,26.39435646,,,,,,,0.275,,,2016,5021,0.8,0.76,,,-0.04,,,
2881,KEPLER-682 B,Primary Transit,,12.61190667,,,,,,,0.658,,,2016,5559,0.92,0.89,,,-0.05,,,
2882,KEPLER-683 B,Primary Transit,,2.53918318,,,,,,,0.176,,,2016,5703,0.96,0.95,,,-0.03,,,
2883,KEPLER-684 B,Primary Transit,,6.77030201,,,,,,,0.3,,,2016,5493,0.89,0.86,,,-0.11,,,
2884,KEPLER-685 B,Primary Transit,,1.6255222,,,,,,,0.944,,,2016,5963,1.11,1.16,,,0.15,,,
2885,KEPLER-686 B,Primary Transit,,1.59474546,,,,,,,1.084,,,2016,5649,0.94,0.92,,,-0.07,,,
2886,KEPLER-687 B,Primary Transit,,20.50586978,,,,,,,0.314,,,2016,4841,0.77,0.73,,,-0.04,,,
2887,KEPLER-688 B,Primary Transit,,3.89593684,,,,,,,0.871,,,2016,5715,0.98,0.96,,,0.02,,,
2888,KEPLER-689 B,Primary Transit,,22.36656079,,,,,,,0.258,,,2016,5518,0.91,0.88,,,-0.01,,,
2889,KEPLER-69 B,Primary Transit,,13.722341,0.094,0.16,89.62,,,,0.199,,,2013,5638,0.81,0.93,G4V,,-0.29,,,
2890,KEPLER-69 C,Primary Transit,,242.4613,0.64,0.14,89.85,,,,0.153,,,2013,5638,0.81,0.93,G4V,,-0.29,,,
2891,KEPLER-690 B,Primary Transit,,7.74809437,,,,,,,0.531,,,2016,5913,1.11,1.16,,,0.19,,,
2892,KEPLER-691 B,Primary Transit,,8.114379,,,,,,,0.186,,,2016,3715,0.53,0.5,,,0.04,,,
2893,KEPLER-692 B,Primary Transit,,21.81293494,,,,,,,0.277,,,2016,5440,0.9,0.86,,,-0.01,,,
2894,KEPLER-693 B,Primary Transit,,15.37563332,,,,,,,0.908,,,2016,4881,0.76,0.72,,,-0.1,,,
2895,KEPLER-694 B,Primary Transit,,6.36584161,,,,,,,0.25,,,2016,5700,0.97,0.95,,,0,,,
2896,KEPLER-695 B,Primary Transit,,3.04033042,,,,,,,0.822,,,2016,5181,0.84,0.8,,,-0.01,,,
2897,KEPLER-696 B,Primary Transit,,4.19042557,,,,,,,0.548,,,2016,5903,1.06,1.08,,,0.07,,,
2898,KEPLER-697 B,Primary Transit,,3.70987065,,,,,,,0.368,,,2016,5513,0.92,0.88,,,-0.01,,,
2899,KEPLER-698 B,Primary Transit,,16.32976218,,,,,,,0.328,,,2016,5612,0.94,0.91,,,-0.03,,,
2900,KEPLER-699 B,Primary Transit,,27.80756293,,,,,,,1.259,,,2016,5330,0.81,0.78,,,-0.26,,,
2901,KEPLER-7 B,Primary Transit,,4.885525,0.06246,0.1,85.18,0.433,,,1.614,,,2010,5933,1.36,2.02,,,0.11,,3.5,
2902,KEPLER-70  B,Imaging,,0.2401,0.006,,,0.014,,,0.068,,,2011,27730,0.496,0.203,sdB,,,,0.0184,
2903,KEPLER-70 C,Imaging,,0.34289,0.0076,,,0.0021,,,0.078,,,2011,27730,0.496,0.203,sdB,,,,0.0184,
2904,KEPLER-700 B,Primary Transit,,80.8720639,,,,,,,0.534,,,2016,5692,0.98,0.96,,,0.04,,,
2905,KEPLER-701 B,Primary Transit,,10.35533177,,,,,,,0.253,,,2016,5343,0.88,0.84,,,0,,,
2906,KEPLER-702 B,Primary Transit,,10.52629406,,,,,,,0.818,,,2016,5419,0.9,0.86,,,0,,,
2907,KEPLER-703 B,Primary Transit,,4.58352176,,,,,,,0.732,,,2016,6185,1.18,1.27,,,0.05,,,
2908,KEPLER-704 B,Primary Transit,,3.76182115,,,,,,,0.233,,,2016,5616,0.97,0.96,,,0.09,,,
2909,KEPLER-705 B,Primary Transit,,56.0560538,,,,,,,0.188,,,2016,3722,0.53,0.51,,,0.07,,,
2910,KEPLER-706 B,Primary Transit,,41.40831347,,,,,,,1.175,,,2016,5394,0.87,0.84,,,-0.06,,,
2911,KEPLER-707 B,Primary Transit,,2.23749275,,,,,,,0.119,,,2016,5099,0.8,0.76,,,-0.12,,,
2912,KEPLER-708 B,Primary Transit,,3.16789194,,,,,,,0.261,,,2016,5692,0.97,0.96,,,0.01,,,
2913,KEPLER-709 B,Primary Transit,,16.08524954,,,,,,,0.261,,,2016,5071,0.8,0.77,,,-0.08,,,
2914,KEPLER-71 B,Primary Transit,,3.905081,0.047,0,89.95,,,,1.0452,,,2013,5591,0.923,0.816,,,-0.2,,,
2915,KEPLER-710 B,Primary Transit,,4.34728553,,,,,,,0.168,,,2016,5611,0.94,0.91,,,-0.04,,,
2916,KEPLER-711 B,Primary Transit,,23.58914398,,,,,,,0.304,,,2016,5222,0.84,0.8,,,-0.04,,,
2917,KEPLER-712 B,Primary Transit,,21.02247699,,,,,,,0.304,,,2016,5148,0.84,0.78,,,-0.03,,,
2918,KEPLER-712 C,Primary Transit,,226.89047,,,,,,,0.433,,,2016,5148,0.84,0.78,,,-0.03,,,
2919,KEPLER-713 B,Primary Transit,,7.411141,,,,,,,0.221,,,2016,5785,0.98,0.99,,,-0.03,,,
2920,KEPLER-714 B,Primary Transit,,8.09888799,,,,,,,0.863,,,2016,5995,1.09,1.12,,,0.04,,,
2921,KEPLER-715 B,Primary Transit,,10.00652995,,,,,,,0.335,,,2016,5871,1.04,1.04,,,0.02,,,
2922,KEPLER-716 B,Primary Transit,,10.37168453,,,,,,,0.259,,,2016,5099,0.83,0.78,,,0,,,
2923,KEPLER-717 B,Primary Transit,,4.40840023,,,,,,,0.216,,,2016,5485,0.88,0.85,,,-0.12,,,
2924,KEPLER-718 B,Primary Transit,,2.0523499,,,,,,,1.477,,,2016,6191,1.18,1.3,,,0.06,,,
2925,KEPLER-719 B,Primary Transit,,5.00731778,,,,,,,0.76,,,2016,5777,0.99,0.98,,,-0.02,,,
2926,KEPLER-720 B,Primary Transit,,4.70832654,,,,,,,0.75,,,2016,5618,0.95,0.92,,,0,,,
2927,KEPLER-721 B,Primary Transit,,5.39202539,,,,,,,0.236,,,2016,5075,0.82,0.78,,,-0.01,,,
2928,KEPLER-722 B,Primary Transit,,4.09357325,,,,,,,0.235,,,2016,5863,1.03,1.05,,,0.02,,,
2929,KEPLER-722 C,Primary Transit,,105.144749,,,,,,,0.252,,,2016,5863,1.03,1.05,,,0.02,,,
2930,KEPLER-723 B,Primary Transit,,4.08227507,,,,,,,1.088,,,2016,5539,0.92,0.89,,,0,,,
2931,KEPLER-724 B,Primary Transit,,3.31494634,,,,,,,0.294,,,2016,5437,0.9,0.86,,,-0.02,,,
2932,KEPLER-725 B,Primary Transit,,39.64317811,,,,,,,0.948,,,2016,5363,0.88,0.84,,,-0.01,,,
2933,KEPLER-726 B,Primary Transit,,21.80451088,,,,,,,0.291,,,2016,5452,0.88,0.85,,,-0.09,,,
2934,KEPLER-727 B,Primary Transit,,5.15448442,,,,,,,0.226,,,2016,5441,0.89,0.86,,,-0.01,,,
2935,KEPLER-728 B,Primary Transit,,5.74347727,,,,,,,0.298,,,2016,5660,0.95,0.93,,,-0.03,,,
2936,KEPLER-729 B,Primary Transit,,3.16635371,,,,,,,0.319,,,2016,5633,0.94,0.91,,,-0.05,,,
2937,KEPLER-730 B,Primary Transit,,6.49168426,,,,,,,0.822,,,2016,5726,1,1.01,,,0.07,,,
2938,KEPLER-731 B,Primary Transit,,3.85560355,,,,,,,1.238,,,2016,5849,1.03,1.06,,,0.04,,,
2939,KEPLER-732 B,Primary Transit,,9.46781405,,,,,,,0.194,,,2016,3631,0.49,0.46,,,-0.01,,,
2940,KEPLER-732 C,Primary Transit,,0.89304124,,,,,,,0.113,,,2016,3631,0.49,0.46,,,-0.01,,,
2941,KEPLER-733 B,Primary Transit,,20.83424726,,,,,,,0.252,,,2016,5418,0.9,0.86,,,0.01,,,
2942,KEPLER-734 B,Primary Transit,,6.10485286,,,,,,,0.318,,,2016,5326,0.85,0.78,,,-0.17,,,
2943,KEPLER-735 B,Primary Transit,,11.51516988,,,,,,,0.263,,,2016,5107,0.85,0.8,,,0.07,,,
2944,KEPLER-736 B,Primary Transit,,3.60147201,,,,,,,0.261,,,2016,5217,0.86,0.81,,,0.03,,,
2945,KEPLER-737 B,Primary Transit,,28.59915399,,,,,,,0.175,,,2016,3813,0.51,0.48,,,-0.24,,,
2946,KEPLER-738 B,Primary Transit,,24.58721573,,,,,,,0.223,,,2016,5327,0.86,0.82,,,-0.09,,,
2947,KEPLER-739 B,Primary Transit,,12.53248465,,,,,,,0.296,,,2016,5601,0.93,0.9,,,-0.08,,,
2948,KEPLER-74 B,Primary Transit,,7.340718,0.084,0.287,85.55,0.68,,,1.32,,,2012,6050,1.4,1.51,F8V,,0.34,,2.9,
2949,KEPLER-740 B,Primary Transit,,3.58410122,,,,,,,0.408,,,2016,5438,0.91,0.87,,,0.03,,,
2950,KEPLER-741 B,Primary Transit,,7.03902374,,,,,,,0.265,,,2016,6129,1.16,1.24,,,0.07,,,
2951,KEPLER-742 B,Primary Transit,,8.36086824,,,,,,,0.289,,,2016,4642,0.76,0.71,,,0.07,,,
2952,KEPLER-743 B,Primary Transit,,3.17926292,,,,,,,0.108,,,2016,5486,0.94,0.85,,,0.01,,,
2953,KEPLER-744 B,Primary Transit,,12.06222443,,,,,,,0.145,,,2016,5594,0.94,0.93,,,0,,,
2954,KEPLER-745 B,Primary Transit,,9.93143556,,,,,,,0.193,,,2016,5849,1.04,1.04,,,0.06,,,
2955,KEPLER-746 B,Primary Transit,,3.48159251,,,,,,,0.099,,,2016,5418,0.91,0.93,,,0.09,,,
2956,KEPLER-747 B,Primary Transit,,35.61760587,,,,,,,0.47,,,2016,5096,0.82,0.78,,,-0.03,,,
2957,KEPLER-748 B,Primary Transit,,7.40742793,,,,,,,0.225,,,2016,5934,1.07,1.1,,,0.08,,,
2958,KEPLER-749 B,Primary Transit,,17.31716585,,,,,,,0.277,,,2016,5009,0.79,0.75,,,-0.11,,,
2959,KEPLER-75 B,Primary Transit,,8.884924,0.08,0.569,89.1,9.9,,,1.03,,,2013,5330,0.88,0.88,G8V,,-0.07,,6,
2960,KEPLER-750 B,Primary Transit,,9.42887179,,,,,,,0.274,,,2016,6160,1.15,1.23,,,0.03,,,
2961,KEPLER-750 C,Primary Transit,,4.08899022,,,,,,,0.145,,,2016,6160,1.15,1.23,,,0.03,,,
2962,KEPLER-751 B,Primary Transit,,17.44490636,,,,,,,0.219,,,2016,5387,0.87,0.84,,,-0.06,,,
2963,KEPLER-752 B,Primary Transit,,18.82747265,,,,,,,0.251,,,2016,5373,0.87,0.83,,,-0.08,,,
2964,KEPLER-753 B,Primary Transit,,5.74772501,,,,,,,0.17,,,2016,4346,0.68,0.65,,,-0.03,,,
2965,KEPLER-754 B,Primary Transit,,14.5596237,,,,,,,0.179,,,2016,5935,1.06,1.08,,,0.05,,,
2966,KEPLER-755 B,Primary Transit,,1.26909037,,,,,,,0.157,,,2016,5043,0.82,0.77,,,-0.01,,,
2967,KEPLER-755 C,Primary Transit,,2.85313364,,,,,,,0.112,,,2016,5043,0.82,0.77,,,-0.01,,,
2968,KEPLER-756 B,Primary Transit,,1.22486632,,,,,,,0.1,,,2016,5282,0.82,0.79,,,-0.19,,,
2969,KEPLER-757 B,Primary Transit,,1.02267882,,,,,,,0.121,,,2016,6014,1.08,1.13,,,0.02,,,
2970,KEPLER-758 B,Primary Transit,,12.1097104,,,,,,,0.221,,,2016,6228,1.16,1.42,,,-0.1,,,
2971,KEPLER-758 C,Primary Transit,,4.75793986,,,,,,,0.151,,,2016,6228,1.16,1.42,,,-0.1,,,
2972,KEPLER-758 D,Primary Transit,,20.4966197,,,,,,,0.189,,,2016,6228,1.16,1.42,,,-0.1,,,
2973,KEPLER-758 E,Primary Transit,,8.1934719,,,,,,,0.136,,,2016,6228,1.16,1.42,,,-0.1,,,
2974,KEPLER-759 B,Primary Transit,,41.805985,,,,,,,0.203,,,2016,5860,1.04,1.04,,,0.06,,,
2975,KEPLER-76 B,Primary Transit,,1.54492875,0.028,,78,1.96,,,1.25,,,2013,6300,1.2,1.12,,,-0.1,,,
