NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-1086 b,0.122792,0.0190136,0.218,,18.78425728,0,,2016,Kepler-1086,0.7,0.66,4350,,0.06,Transit
Kepler-1086 c,0.515367,0.0257931,0.262,,161.5163345,0,,2016,Kepler-1086,0.7,0.66,4350,,0.06,Transit
Kepler-1087 b,0.0151311,0.000499273,0.054,,0.69384285,0,,2016,Kepler-1087,0.96,0.94,5589,,0.01,Transit
Kepler-1088 b,0.162992,0.00991268,0.127,,23.12748644,0,,2016,Kepler-1088,1.08,1.08,5975,,0.05,Transit
Kepler-1089 b,0.0468266,0.0134548,0.163,,5.13248562,0,,2016,Kepler-1089,0.52,0.49,3753,,-0.09,Transit
Kepler-109 b,0.0689299,0.0182069,0.211437,0.3,6.48163,0,,2014,Kepler-109,1.04,1.32,5952,,-0.08,Transit
Kepler-109 c,0.151991,0.0199023,0.224819,0.65,21.2227,0,,2014,Kepler-109,1.04,1.32,5952,0.65,-0.08,Transit
Kepler-1090 b,0.633688,0.0170154,0.201,,198.680179,0,,2016,Kepler-1090,0.86,0.82,5321,,-0.04,Transit
Kepler-1091 b,0.0249783,0.0107116,0.13,,1.43474156,0,,2016,Kepler-1091,1.01,1.03,5851,,0,Transit
Kepler-1092 b,0.294279,0.015383,0.185,,58.6017925,0,,2016,Kepler-1092,0.99,1,5862,,-0.09,Transit
Kepler-1093 b,0.174668,0.0143786,0.174,,25.0824626,0,,2016,Kepler-1093,1.13,1.2,6166,,-0.01,Transit
